Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,421,6,P:System.Data.Services.ExpandSegment.Name,,,,,nHibQuery.QueryOptions.AddExpansion(seg.Name);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,417,6,T:System.Data.Services.DataServiceException,,,,,"throw new DataServiceException(""NHibernate does not support Expansions with Filters"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,417,6,M:System.Data.Services.DataServiceException.#ctor(System.String),,,,,"throw new DataServiceException(""NHibernate does not support Expansions with Filters"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,415,5,P:System.Data.Services.ExpandSegment.HasFilter,,,,,"if (seg.HasFilter)  					{  						throw new DataServiceException(""NHibernate does not support Expansions with Filters"");  					}  					else  					{  						nHibQuery.QueryOptions.AddExpansion(seg.Name);  					}"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,410,31,T:System.Data.Services.DataServiceException,,,,,"throw new DataServiceException(""Expansion Paths cannot be null"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,410,31,M:System.Data.Services.DataServiceException.#ctor(System.String),,,,,"throw new DataServiceException(""Expansion Paths cannot be null"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,408,26,T:System.Data.Services.DataServiceException,,,,,"throw new DataServiceException(""Expansion only supported on INHibernateQueryable queries"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,408,26,M:System.Data.Services.DataServiceException.#ctor(System.String),,,,,"throw new DataServiceException(""Expansion only supported on INHibernateQueryable queries"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,405,26,T:System.Data.Services.DataServiceException,,,,,"throw new DataServiceException(""Query cannot be null"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,405,26,M:System.Data.Services.DataServiceException.#ctor(System.String),,,,,"throw new DataServiceException(""Query cannot be null"");"
